Name,Right Ascension,Declination,Apparent Magnitude,Constellation
64 Aquilae,20 08 01.75,-00 40 40.9,5.97,Aquila
HD 185018,19 36 52.45,+11 16 23.5,5.98,Aquila
Q Aquilae,19 41 05.53,+13 48 56.5,5.98,Aquila
Oega² Aquilae,19 19 53.04,+11 32 05.7,6.03,Aquila
8 Aquilae,18 51 22.16,-03 19 04.1,6.08,Aquila
HD 183589,19 30 10.53,+02 54 14.7,6.08,Aquila
V923 Aquilae,19 30 33.11,+03 26 39.8,6.09,Aquila
R Aquilae,19 06 22.25,+08 13 48.0,6.09,Aquila
V500 Aquilae,19 52 27.98,+08 28 41.6,6.1,Aquila
68 Aquilae,20 28 24.89,-03 21 27.9,6.12,Aquila
HD 188385,19 54 40.18,+07 08 25.3,6.14,Aquila
HD 194244,20 24 37.49,+01 04 06.2,6.14,Aquila
HD 187923,19 52 03.64,+11 37 44.9,6.16,Aquila
Pi Aquilae,19 44 34.19,+13 18 10.1,6.25,Aquila
HD 191984,20 12 35.12,+00 52 01.6,6.25,Aquila
HD 183144,19 27 33.90,+14 16 57.0,6.31,Aquila
46 Aquilae,19 42 12.81,+12 11 35.8,6.33,Aquila
V450 Aquilae,19 33 46.03,+05 27 56.8,6.35,Aquila
HD 174569,18 50 45.55,+10 58 35.0,6.37,Aquila
U Aquilae,19 29 21.36,-07 02 38.6,6.37,Aquila
V1472 Aquilae,20 05 26.53,+15 30 01.3,6.37,Aquila
V1401 Aquilae,20 05 05.42,-11 35 57.8,6.38,Aquila
24 Aquilae,19 18 50.93,+00 20 20.4,6.4,Aquila
HD 191104,20 07 50.34,+09 23 59.1,6.43,Aquila
HD 192699,20 16 06.03,+04 34 51.3,6.44,Aquila
HD 179791,19 13 44.02,+05 30 56.3,6.47,Aquila
V1339 Aquilae,19 50 17.48,+07 54 08.7,6.49,Aquila
57 Aquilae,19 54 38.06,-08 14 13.1,6.49,Aquila
HD 188405,19 55 19.49,-06 44 04.7,6.49,Aquila
V1691 Aquilae,19 25 01.51,-04 53 04.4,6.5,Aquila
V Aquilae,19 04 24.15,-05 41 05.4,6.78,Aquila
TT Aquilae,19 08 13.75,+01 17 55.2,7.1,Aquila
HD 186641,19 45 41.0,-00 41 48,7.34,Aquila
V604 Aquilae,19 02 6.33,-04 26 43.2,7.6,Aquila
HD 183263,19 28 24.57,+08 21 29.0,7.86,Aquila
HD 179079,19 11 09.83,-02 38 18.2,7.96,Aquila
V1703 Aquilae,20 13 59.85,-00 52 00.8,8.1,Aquila
V1494 Aquilae,19 23 5.38,+04 57 20.1,8.8,Aquila
WAP-74,20 18 10.0,-01 04 33,9.7,Aquila
HAT-P-41,19 49 17.0,+04 40 21,11.09,Aquila
V603 Aquilae,18 48 54.64,+00 35 02.9,11.64,Aquila
WAP-80,20 12 40.0,-02 08 44,11.88,Aquila
Chi Aquilae,19 42 37.90,+11 50 31.0,12.3,Aquila
COROT-2,19 27 07,+01 23 02,12.57,Aquila
COROT-3,19 28 13.27,+00 07 18.6,13.3,Aquila
COROT-8,19 26 21.24,+01 25 35.2,14.8,Aquila
COROT-10,19 24 15.30,+00 44 46.0,15.22,Aquila
VB 10,19 16 57.62,+05 09 02.2,17.3,Aquila
Beta Arae,17 25 18.00,-55 31 47.4,2.84,Ara
Alpha Arae,17 31 50.52,-49 52 33.5,2.84,Ara
Zeta Arae,16 58 37.23,-55 59 24.2,3.12,Ara
Gaa Arae,17 25 23.66,-56 22 39.7,3.31,Ara
Delta Arae,17 31 05.98,-60 41 01.0,3.6,Ara
Theta Arae,18 06 37.88,-50 05 29.2,3.65,Ara
Eta Arae,16 49 47.11,-59 02 28.7,3.77,Ara
Epilon1 Arae,16 59 35.05,-53 09 37.8,4.06,Ara
iga Arae,17 35 39.61,-46 30 20.1,4.56,Ara
Labda Arae,17 40 23.73,-49 24 54.6,4.76,Ara
u Arae,17 44 08.72,-51 50 00.9,5.12,Ara
Kappa Arae,17 26 00.03,-50 38 00.7,5.19,Ara
Iota Arae,17 23 16.08,-47 28 05.4,5.21,Ara
Pi Arae,17 38 05.57,-54 30 00.3,5.25,Ara
Epilon2 Arae,17 03 08.71,-53 14 11.9,5.27,Ara
HD 157661,17 26 51.98,-45 50 34.7,5.28,Ara
41 G. Arae,17 19 02.95,-46 38 11.4,5.47,Ara
Rho2 Arae,16 58 17.95,-50 38 27.9,5.53,Ara
HD 150898,16 47 19.66,-58 20 29.0,5.55,Ara
HD 150168,16 41 40.23,-49 39 05.6,5.62,Ara
HD 153053,17 00 06.29,-54 35 49.2,5.64,Ara
HD 150136,16 41 20.42,-48 45 46.7,5.65,Ara
V539 Arae,17 50 28.39,-53 36 44.6,5.68,Ara
HD 156838,17 24 01.08,-62 51 50.9,5.69,Ara
HD 157753,17 27 57.62,-52 17 49.3,5.72,Ara
HD 153716,17 04 24.73,-57 42 43.6,5.73,Ara
HD 150745,16 46 21.23,-58 30 12.8,5.74,Ara
HD 156854,17 23 07.11,-56 31 32.0,5.76,Ara
HD 156942,17 24 18.80,-60 40 25.6,5.76,Ara
HD 160263,17 41 16.23,-46 55 18.5,5.78,Ara
HD 156768,17 22 55.23,-58 00 37.0,5.86,Ara
HD 154903,17 13 18.11,-67 11 46.9,5.87,Ara
HD 159463,17 37 27.31,-50 03 34.1,5.89,Ara
HD 157662,17 27 12.46,-50 37 49.3,5.9,Ara
HD 151967,16 54 00.40,-57 54 33.2,5.91,Ara
HD 156091,17 19 12.51,-59 41 40.5,5.93,Ara
HD 157819,17 28 38.91,-55 10 10.8,5.93,Ara
HD 152527,16 56 28.80,-52 17 01.1,5.94,Ara
V854 Arae,17 11 38.67,-48 52 24.2,5.94,Ara
V862 Arae,17 31 23.28,-56 55 15.47,5.95,Ara
HD 150576,16 44 39.75,-53 09 08.2,5.96,Ara
HD 153221,17 00 26.98,-48 38 51.2,5.98,Ara
HD 152082,16 55 24.68,-63 16 10.7,5.99,Ara
HD 158476,17 31 49.10,-46 02 12.4,6.04,Ara
HD 153791,17 03 41.68,-47 09 38.1,6.07,Ara
HR 6384,17 14 13.40,-56 53 18.6,6.08,Ara
HD 159018,17 35 19.91,-53 21 10.4,6.09,Ara
HD 161420,17 48 38.08,-55 24 06.6,6.09,Ara
Nu2 Arae,17 51 11.03,-53 07 49.0,6.09,Ara
HD 162123,17 51 44.55,-45 36 02.5,6.09,Ara
HD 165493,18 08 30.11,-45 46 01.1,6.13,Ara
HD 149485,16 38 52.71,-60 59 25.1,6.16,Ara
HD 149837,16 40 50.41,-60 26 46.6,6.17,Ara
HD 157599,17 26 56.35,-51 56 55.6,6.17,Ara
HD 150421,16 43 03.57,-46 04 13.0,6.22,Ara
HD 157524,17 28 07.88,-63 02 10.3,6.22,Ara
V828 Arae,17 01 47.39,-58 57 29.6,6.26,Ara
HD 158895,17 35 35.00,-59 50 45.9,6.26,Ara
HD 163071,17 57 42.74,-56 53 46.4,6.26,Ara
HD 156331,17 19 30.51,-50 03 49.3,6.27,Ara
V626 Arae,17 42 03.62,-50 30 38.4,6.28,Ara
V872 Arae,16 40 44.39,-51 28 42.9,6.3,Ara
Rho1 Arae,16 56 08.85,-50 40 29.2,6.3,Ara
HD 158907,17 34 16.89,-48 31 36.8,6.32,Ara
HD 154555,17 10 06.28,-61 40 31.6,6.37,Ara
HD 153201,17 01 07.03,-56 33 18.1,6.4,Ara
HD 153370,17 01 46.36,-51 07 51.3,6.43,Ara
HD 151566,16 50 36.09,-50 02 41.8,6.45,Ara
HD 164896,18 06 09.21,-51 44 38.0,6.46,Ara
HD 150897,16 46 06.38,-46 31 54.9,6.47,Ara
HD 152220,16 54 31.55,-49 42 38.8,6.49,Ara
HD 155951,17 18 51.78,-62 52 28.3,6.5,Ara
HD 157832,17 27 54.81,-47 01 34.4,6.65,Ara
HD 156411,17 19 51.40,-48 32 57.5,6.67,Ara
R Arae,16 39 44.74,-56 59 39.8,6.73,Ara
HD 155555,17 17 25.50,-66 57 03.7,6.77,Ara
HD 156385,17 19 29.90,-45 38 23.9,6.92,Ara
HD 154857,17 11 15.72,-56 40 50.9,7.25,Ara
V535 Arae,17 38 05.55,-56 49 17.3,7.36,Ara
HD 154672,17 10 04.91,-56 26 57.4,8.21,Ara
RW Arae,17 34 49.23,-57 08 50.5,8.97,Ara
HD 152079,16 53 29.74,-46 19 58.6,9.2,Ara
Gliee 674,17 28 39.95,-46 53 42.7,9.36,Ara
Gliee 676,17 30 11.20,-51 38 13.1,9.59,Ara
 Arae,17 59 10.75,-49 26 00.5,10.73,Ara
tingray nebula,17 16 21.08,-59 29 23.3,10.75,Ara
AE Arae,17 41 04.91,-47 03 27.0,11.0,Ara
CPD -56 8032,17 09 00.86,-56 54 48.1,11.04,Ara
AT Arae,17 30 33.80,-46 05 58.9,11.5,Ara
GX 339-4,17 02 49.36,-48 47 22.8,15.5,Ara
BP 25114,17 47 46.9,-52 07 10,15.62,Ara
Weterlund 1-26,16 47 05.40,-45 50 36.8,16.79,Ara
4U 1636-53,16 40 55.5,-53 45 05,17.5,Ara
Alpha Arieti,02 07 10.29,+23 27 46.0,2.01,Arie
Beta Arieti,01 54 38.35,+20 48 29.9,2.64,Arie
41 Arieti,02 49 58.99,+27 15 38.8,3.61,Arie
Delta Arieti,03 11 37.67,+19 43 36.1,4.35,Arie
HD 20644,03 20 20.37,+29 02 54.6,4.47,Arie
39 Arieti,02 47 54.44,+29 14 50.7,4.52,Arie
Gaa Arieti,01 53 31.80,+19 17 45.0,4.62,Arie
35 Arieti,02 43 27.11,+27 42 25.8,4.65,Arie
Gaa Arieti,01 53 31.77,+19 17 38.7,4.7,Arie
Labda Arieti,01 57 55.78,+23 35 45.9,4.79,Arie
Zeta Arieti,03 14 54.11,+21 02 40.7,4.87,Arie
14 Arieti,02 09 25.29,+25 56 23.9,4.98,Arie
Kappa Arieti,02 06 33.91,+22 38 54.3,5.03,Arie
Iota Arieti,01 57 21.03,+17 49 03.3,5.09,Arie
Tau2 Arieti,03 22 45.27,+20 44 31.6,5.1,Arie
38 Arieti,02 44 57.51,+12 26 45.5,5.18,Arie
Epilon Arieti,02 59 12.70,+21 20 25.0,5.2,Arie
Eta Arieti,02 12 47.98,+21 12 39.5,5.23,Arie
Pi Arieti,02 49 17.56,+17 27 51.6,5.26,Arie
Tau1 Arieti,03 21 13.61,+21 08 49.7,5.27,Arie
33 Arieti,02 40 41.03,+27 03 39.6,5.3,Arie
Nu Arieti,02 38 49.00,+21 57 41.2,5.45,Arie
52 Arieti,03 05 26.69,+25 15 18.7,5.45,Arie
Xi Arieti,02 24 49.04,+10 36 38.2,5.48,Arie
Epilon Arieti,02 59 12.73,+21 20 25.6,5.5,Arie
64 Arieti,03 24 18.46,+24 43 27.1,5.5,Arie
iga Arieti,02 51 29.57,+15 04 55.7,5.52,Arie
62 Arieti,03 22 11.89,+27 36 27.3,5.55,Arie
21 Arieti,02 15 42.83,+25 02 35.7,5.57,Arie
Theta Arieti,02 18 07.55,+19 54 04.2,5.58,Arie
Rho3 Arieti,02 56 25.98,+18 01 25.1,5.58,Arie
HD 20149,03 15 20.45,+30 33 24.0,5.61,Arie
10 Arieti,02 03 39.26,+25 56 07.6,5.64,Arie
31 Arieti,02 36 37.75,+12 26 52.2,5.64,Arie
HD 19270,03 06 23.69,+13 11 14.6,5.64,Arie
15 Arieti,02 10 37.54,+19 30 01.5,5.68,Arie
19 Arieti,02 13 03.25,+15 16 47.7,5.72,Arie
u Arieti,02 42 21.92,+20 00 41.7,5.74,Arie
55 Arieti,03 09 36.73,+29 04 37.6,5.74,Arie
7 Arieti,01 55 51.03,+23 34 38.4,5.76,Arie
Rho2 Arieti,02 55 48.50,+18 19 54.0,5.76,Arie
Oicron Arieti,02 44 32.97,+15 18 42.8,5.78,Arie
56 Arieti,03 12 14.24,+27 15 25.2,5.78,Arie
20 Arieti,02 15 45.94,+25 46 59.2,5.79,Arie
47 Arieti,02 58 05.08,+20 40 07.7,5.8,Arie
1 Arieti,01 50 08.58,+22 16 31.3,5.83,Arie
40 Arieti,02 48 32.06,+18 17 01.9,5.83,Arie
4 Arieti,01 48 10.90,+16 57 20.3,5.86,Arie
HD 15524,02 30 32.31,+25 14 06.8,5.88,Arie
HD 12139,01 59 35.60,+21 03 31.0,5.89,Arie
HR 830,02 48 45.87,+25 11 17.1,5.89,Arie
1 Arieti,01 50 08.50,+22 16 33.0,5.9,Arie
49 Arieti,03 01 54.15,+26 27 44.4,5.91,Arie
59 Arieti,03 19 55.81,+27 04 16.7,5.91,Arie
54 Ceti,01 50 52.01,+11 02 36.4,5.93,Arie
HD 18700,03 00 44.09,+10 52 13.7,5.93,Arie
HD 13522,02 12 37.51,+24 10 04.1,5.96,Arie
HD 12479,02 02 35.08,+13 28 36.2,5.97,Arie
HD 19698,03 10 38.78,+11 52 21.7,5.97,Arie
29 Arieti,02 32 54.15,+15 02 04.1,6.0,Arie
11 Arieti,02 06 49.22,+25 42 16.5,6.01,Arie
16 Arieti,02 11 12.06,+25 56 13.0,6.01,Arie
HD 19637,03 10 27.04,+26 53 45.9,6.02,Arie
66 Arieti,03 28 26.57,+22 48 15.4,6.03,Arie
65 Arieti,03 24 26.11,+20 48 12.6,6.07,Arie
HD 12140,01 59 25.88,+12 17 41.8,6.09,Arie
HD 19789,03 11 21.93,+13 02 52.1,6.11,Arie
53 Arieti,03 07 25.69,+17 52 47.9,6.13,Arie
HD 15152,02 27 07.26,+27 00 45.3,6.14,Arie
26 Arieti,02 30 38.37,+19 51 19.4,6.14,Arie
60 Arieti,03 20 25.57,+25 39 46.7,6.14,Arie
HD 15385,02 29 13.63,+23 28 08.7,6.2,Arie
27 Arieti,02 30 54.38,+17 42 14.6,6.21,Arie
HD 12594,02 03 42.61,+18 15 11.8,6.24,Arie
54 Arieti,03 08 21.09,+18 47 42.3,6.25,Arie
HD 17918,02 53 11.66,+16 29 01.0,6.3,Arie
85 Ceti,02 42 28.95,+10 44 30.4,6.32,Arie
HD 16955,02 43 51.25,+25 38 18.0,6.35,Arie
HD 19080,03 04 40.65,+15 51 22.5,6.37,Arie
HD 18928,03 03 30.11,+28 16 11.8,6.38,Arie
HD 13201,02 09 23.03,+17 13 28.7,6.4,Arie
HD 20367,03 17 40.12,+31 07 37.9,6.4,Arie
HD 19549,03 09 20.10,+20 45 40.1,6.41,Arie
HD 19600,03 10 08.83,+27 49 11.6,6.42,Arie
HD 14262,02 18 57.96,+23 10 04.2,6.45,Arie
36 Arieti,02 44 19.09,+17 45 50.5,6.46,Arie
UX Arieti,03 26 35.36,+28 42 55.2,6.47,Arie
30 Arieti,02 37 00.44,+24 38 50.1,6.48,Arie
HD 14067,02 17 10.4,+23 46 04,6.51,Arie
51 Arieti,03 02 25.87,+26 36 34.7,6.62,Arie
VW Arieti,02 26 45.65,+10 33 55.1,6.69,Arie
VY Arieti,02 48 43.72,+31 06 54.7,6.76,Arie
52 Arieti,03 05 26.70,+25 15 19.0,7.0,Arie
Rho1 Arieti,02 54 55.17,+17 44 05.3,7.01,Arie
30 Arieti,02 36 57.64,+24 38 53.1,7.09,Arie
R Arieti,02 16 07.11,+25 03 23.7,7.4,Arie
HD 12661,02 04 34.29,+25 24 51.5,7.44,Arie
HIP 14810,03 11 14.23,+21 05 50.5,8.52,Arie
BD +20307,01 54 50.79,+21 18 22.5,9.01,Arie
X Arieti,03 08 30.89,+10 26 45.2,9.04,Arie
RX Arieti,02 15 20.78,+22 34 11.1,9.41,Arie
 Arieti,02 04 18.41,+24 00 02.2,10.15,Arie
TT Arieti,02 06 53.08,+15 17 41.8,10.2,Arie
RV Arieti,02 15 07.50,+18 04 27.9,11.61,Arie
WAP-11/HAT-P-10,03 09 28.55,+30 40 24.9,11.89,Arie
L 1159-16,02 00 12.79,+13 03 11.2,12.26,Arie
LkHα 264,02 56 37.56,+20 05 37.1,12.46,Arie
RW Arieti,02 16 03.72,+17 31 59.0,12.51,Arie
HAT-P-25,03 13 45,+25 11 51,13.19,Arie
HAT-P-52,02 50 53.0,+29 01 21,14.07,Arie
WX Arieti,02 47 36.22,+10 35 37.7,15.3,Arie
Teegarden' tar,02 53 00.89,+16 52 52.7,15.4,Arie
Capella (tar),05 16 41.30,+45 59 56.5,0.08,Auriga
Beta Aurigae,05 59 31.77,+44 56 50.8,1.9,Auriga
Theta Aurigae,05 59 43.24,+37 12 46.0,2.62,Auriga
Iota Aurigae,04 56 59.62,+33 09 58.1,2.69,Auriga
Epilon Aurigae,05 01 58.13,+43 49 23.9,3.03,Auriga
Eta Aurigae,05 06 30.87,+41 14 04.7,3.18,Auriga
Zeta Aurigae,05 02 28.68,+41 04 33.2,3.69,Auriga
Delta Aurigae,05 59 31.55,+54 17 05.9,3.72,Auriga
Nu Aurigae,05 51 29.39,+39 08 54.5,3.97,Auriga
Pi Aurigae,05 59 56.10,+45 56 12.3,4.3,Auriga
Kappa Aurigae,06 15 22.74,+29 29 55.4,4.32,Auriga
Tau Aurigae,05 49 10.46,+39 10 52.1,4.51,Auriga
16 Aurigae,05 18 10.55,+33 22 19.2,4.54,Auriga
Labda Aurigae,05 19 08.08,+40 06 02.4,4.69,Auriga
Chi Aurigae,05 32 43.67,+32 11 31.3,4.71,Auriga
Upilon Aurigae,05 51 02.41,+37 18 20.5,4.72,Auriga
2 Aurigae,04 52 38.00,+36 42 11.5,4.79,Auriga
Pi2 Aurigae,06 39 19.83,+42 29 20.4,4.8,Auriga
u Aurigae,05 13 25.73,+38 29 04.8,4.82,Auriga
63 Aurigae,07 11 39.29,+39 19 14.0,4.91,Auriga
Pi1 Aurigae,06 24 53.90,+49 17 16.4,4.92,Auriga
Oega Aurigae,04 59 15.38,+37 53 25.7,4.93,Auriga
Xi Aurigae,05 54 50.79,+55 42 24.9,4.96,Auriga
9 Aurigae,05 06 40.66,+51 35 53.3,4.98,Auriga
Pi7 Aurigae,06 50 45.96,+41 46 53.6,4.99,Auriga
14 Aurigae,05 15 24.41,+32 41 15.3,5.01,Auriga
iga Aurigae,05 24 39.14,+37 23 07.4,5.02,Auriga
Pi4 Aurigae,06 43 05.01,+44 31 28.3,5.04,Auriga
19 Aurigae,05 20 00.92,+33 57 29.0,5.05,Auriga
Phi Aurigae,05 27 38.89,+34 28 33.6,5.08,Auriga
65 Aurigae,07 22 02.69,+36 45 38.3,5.12,Auriga
Rho Aurigae,05 21 48.41,+41 48 16.8,5.22,Auriga
Pi6 Aurigae,06 47 39.58,+48 47 22.1,5.22,Auriga
66 Aurigae,07 24 08.47,+40 40 20.8,5.23,Auriga
Pi5 Aurigae,06 46 44.34,+43 34 37.3,5.24,Auriga
49 Aurigae,06 35 12.06,+28 01 20.4,5.26,Auriga
45 Aurigae,06 21 46.11,+53 27 08.6,5.34,Auriga
Pi3 Aurigae,06 38 49.19,+39 54 09.3,5.34,Auriga
40 Aurigae,06 06 35.09,+38 28 58.0,5.36,Auriga
IQ Aurigae,05 19 00.02,+33 44 54.5,5.38,Auriga
26 Aurigae,05 38 38.10,+30 29 32.8,5.4,Auriga
UU Aurigae,06 36 32.84,+38 26 44.0,5.4,Auriga
Oicron Aurigae,05 45 54.05,+49 49 34.6,5.46,Auriga
PU Aurigae,05 18 15.68,+42 47 31.9,5.55,Auriga
HD 34790,05 21 12.69,+29 34 11.6,5.66,Auriga
51 Aurigae,06 38 39.55,+39 23 28.0,5.7,Auriga
36 Aurigae,06 00 58.56,+47 54 07.1,5.71,Auriga
RT Aurigae,06 28 34.09,+30 29 35.1,5.75,Auriga
53 Aurigae,06 38 23.02,+28 59 03.8,5.76,Auriga
41 Aurigae,06 11 36.58,+48 42 40.0,5.78,Auriga
WW Aurigae,06 32 27.20,+32 27 17.8,5.82,Auriga
HD 30453,04 49 19.06,+32 35 17.8,5.84,Auriga
Pi9 Aurigae,06 56 32.06,+46 16 26.4,5.85,Auriga
64 Aurigae,07 18 02.22,+40 53 00.1,5.87,Auriga
47 Aurigae,06 30 02.98,+46 41 07.9,5.88,Auriga
39 Aurigae,06 05 03.42,+42 58 55.1,5.9,Auriga
5 Aurigae,05 00 18.35,+39 23 40.9,5.95,Auriga
V433 Aurigae,05 39 18.31,+29 12 54.8,5.98,Auriga
AE Aurigae,05 16 18.15,+34 18 44.0,5.99,Auriga
HD 41429,06 06 22.44,+29 30 44.7,6.01,Auriga
54 Aurigae,06 39 33.12,+28 15 47.4,6.02,Auriga
62 Aurigae,06 59 02.88,+38 03 09.4,6.02,Auriga
38 Aurigae,06 03 17.87,+42 54 42.8,6.08,Auriga
41 Aurigae,06 11 36.60,+48 42 40.0,6.09,Auriga
59 Aurigae,06 53 01.41,+38 52 08.9,6.1,Auriga
AR Aurigae,05 18 18.89,+33 46 02.7,6.15,Auriga
V352 Aurigae,06 55 14.66,+43 54 36.2,6.16,Auriga
HD 35519,05 26 54.33,+35 27 26.3,6.17,Auriga
V538 Aurigae,05 41 20.33,+53 28 56.4,6.21,Auriga
NO Aurigae,05 40 42.05,+31 55 14.2,6.23,Auriga
V440 Aurigae,05 51 25.74,+32 07 28.9,6.28,Auriga
60 Aurigae,06 53 13.37,+38 26 18.4,6.32,Auriga
43 Aurigae,06 18 16.86,+46 21 38.7,6.33,Auriga
HD 36041,05 30 45.07,+39 49 33.6,6.38,Auriga
35 Caelopardali,06 04 29.11,+51 34 24.6,6.39,Auriga
HD 33463,05 11 38.31,+29 54 13.1,6.42,Auriga
34 Caelopardali,05 59 45.83,+55 19 15.9,6.42,Auriga
22 Aurigae,05 23 22.86,+28 56 12.6,6.45,Auriga
6 Aurigae,05 00 23.21,+39 39 16.8,6.46,Auriga
Pi8 Aurigae,06 53 57.07,+38 30 18.3,6.46,Auriga
V403 Aurigae,05 57 04.90,+49 01 46,6.47,Auriga
18 Aurigae,05 19 23.72,+33 59 07.6,6.49,Auriga
42 Aurigae,06 17 34.68,+46 25 26.1,6.53,Auriga
HD 40979,06 04 29.94,+44 15 37.6,6.74,Auriga
LY Aurigae,05 29 42.6511,+35 22 30.089,6.85,Auriga
12 Aurigae,05 16 27.10,+46 24 56.0,6.9,Auriga
25 Caelopardali,05 43 58.59,+54 51 53.4,6.94,Auriga
AB Aurigae,04 55 45.84,+30 33 04.29,7.06,Auriga
33 Caelopardali,05 57 40.57,+55 39 24.1,7.15,Auriga
V420 Aurigae,05 22 35.2305,+37 40 33.629,7.45,Auriga
EO Aurigae,05 18 21.0655,+36 37 55.336,7.83,Auriga
HD 45350,06 28 45.71,+38 57 46.7,7.88,Auriga
HD 43691,06 19 34.68,+41 05 32.3,8.03,Auriga
HD 49674,06 51 30.52,+40 52 03.9,8.1,Auriga
Z Aurigae,05 20 33.0354,+36 37 56.031,8.16,Auriga
IU Aurigae,05 27 52.4005,+34 46 58.25,8.39,Auriga
Aurigae,05 23 10.0664,+35 42 32.272,8.68,Auriga
KELT-2A,06 10 39,+30 57 25,8.77,Auriga
WAP-12,06 30 33.0,+29 40 20,11.69,Auriga
HAT-P-9,07 20 40.479,+37 08 26.17,12.34,Auriga
NX Aurigae,05 23 04.262,+33 28 46.43,14.1,Auriga
Arcturu,14 15 40.35,+19 11 14.2,-0.05,Boöte
Epilon Boöti,14 44 59.25,+27 04 27.0,2.35,Boöte
Eta Boöti,13 54 41.12,+18 23 54.9,2.68,Boöte
Epilon Boöti,14 44 59.20,+27 04 27.0,2.7,Boöte
Gaa Boöti,14 32 04.76,+38 18 28.4,3.04,Boöte
Delta Boöti,15 15 30.10,+33 18 54.4,3.46,Boöte
Beta Boöti,15 01 56.79,+40 23 26.3,3.49,Boöte
Rho Boöti,14 31 49.86,+30 22 16.1,3.57,Boöte
Zeta Boöti,14 41 08.92,+13 43 42.0,3.78,Boöte
Theta Boöti,14 25 12.02,+51 51 06.2,4.04,Boöte
Upilon Boöti,13 49 28.70,+15 47 52.1,4.05,Boöte
Labda Boöti,14 16 23.18,+46 05 16.5,4.18,Boöte
u Boöti,15 24 29.54,+37 22 37.1,4.31,Boöte
Zeta Boöti,14 41 08.90,+13 43 42.0,4.43,Boöte
iga Boöti,14 34 40.69,+29 44 41.3,4.47,Boöte
Pi Boöti,14 40 43.56,+16 25 05.9,4.49,Boöte
Tau Boöti,13 47 16.04,+17 27 24.4,4.5,Boöte
Pi Boöti,15 04 26.86,+26 56 51.6,4.52,Boöte
Kappa Boöti,14 13 28.95,+51 47 24.0,4.53,Boöte
Xi Boöti,14 51 23.28,+19 06 02.3,4.54,Boöte
Oicron Boöti,14 45 14.50,+16 57 51.9,4.6,Boöte
Iota Boöti,14 16 10.07,+51 22 01.3,4.75,Boöte
HD 125351,14 17 59.82,+35 30 34.1,4.8,Boöte
34 Boöti,14 43 25.37,+26 31 40.4,4.8,Boöte
Oega Boöti,15 02 06.51,+25 00 29.7,4.8,Boöte
12 Boöti,14 10 23.95,+25 05 30.6,4.82,Boöte
44 Boöti,15 03 47.68,+47 39 14.5,4.83,Boöte
20 Boöti,14 19 45.32,+16 18 24.5,4.84,Boöte
HD 126128,14 23 22.74,+08 26 47.9,4.86,Boöte
31 Boöti,14 41 38.76,+08 09 42.3,4.86,Boöte
6 Boöti,13 49 42.82,+21 15 50.6,4.92,Boöte
45 Boöti,15 07 17.95,+24 52 10.5,4.93,Boöte
Nu2 Boöti,15 31 46.99,+40 53 57.7,4.98,Boöte
9 Boöti,13 56 34.16,+27 29 31.9,5.02,Boöte
Nu1 Boöti,15 30 55.75,+40 49 59.0,5.04,Boöte
HD 123657,14 07 55.75,+43 51 16.3,5.13,Boöte
Phi Boöti,15 37 49.55,+40 21 11.8,5.25,Boöte
13 Boöti,14 08 17.36,+49 27 28.9,5.26,Boöte
Chi Boöti,15 14 29.21,+29 09 51.2,5.28,Boöte
15 Boöti,14 14 50.86,+10 06 03.6,5.29,Boöte
50 Boöti,15 21 48.61,+32 56 01.2,5.38,Boöte
33 Boöti,14 38 50.28,+44 24 16.4,5.39,Boöte
22 Boöti,14 26 27.41,+19 13 36.6,5.4,Boöte
18 Boöti,14 19 16.22,+13 00 15.8,5.41,Boöte
BP Boöti,15 42 50.82,+52 21 39.0,5.48,Boöte
14 Boöti,14 14 05.33,+12 57 34.5,5.53,Boöte
32 Boöti,14 41 43.62,+11 39 39.4,5.55,Boöte
HD 118889,13 39 34.68,+10 44 46.7,5.57,Boöte
24 Boöti,14 28 38.09,+49 50 41.9,5.58,Boöte
47 Boöti,15 05 25.89,+48 09 03.2,5.59,Boöte
2 Boöti,13 41 02.36,+22 29 45.0,5.63,Boöte
40 Boöti,14 59 36.97,+39 15 54.8,5.64,Boöte
46 Boöti,15 08 23.78,+26 18 04.3,5.67,Boöte
39 Boöti,14 49 41.36,+48 43 14.0,5.68,Boöte
7 Boöti,13 53 12.95,+17 55 58.3,5.71,Boöte
1 Boöti,13 40 40.50,+19 57 20.4,5.73,Boöte
HD 128333,14 34 39.66,+49 22 05.6,5.74,Boöte
10 Boöti,13 58 38.93,+21 41 46.8,5.76,Boöte
38 Boöti,14 49 18.68,+46 06 59.0,5.76,Boöte
HD 130144,14 46 06.00,+15 07 54.3,5.78,Boöte
101 Virgini,14 17 28.44,+15 15 48.1,5.84,Boöte
HD 130948,14 50 15.72,+23 54 42.4,5.86,Boöte
Pi Boöti,14 40 43.90,+16 25 04.0,5.88,Boöte
26 Boöti,14 32 32.62,+22 15 35.9,5.91,Boöte
HD 126200,14 24 00.88,+08 14 38.4,5.94,Boöte
3 Boöti,13 46 43.33,+25 42 08.6,5.97,Boöte
CN Boöti,14 16 04.20,+18 54 43.0,5.98,Boöte
DE Boöti,14 53 24.04,+19 09 08.2,6.0,Boöte
HD 122563,14 02 31.96,+09 41 10.6,6.18,Boöte
11 Boöti,14 01 10.53,+27 23 11.6,6.23,Boöte
BX Boöti,15 00 38.73,+47 16 38.7,6.35,Boöte
